date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn
2002-10-24,sh.600522,1.766759,1.826873,1.741834,1.772624,0.791743,36289882,440587759.000000,2,51.842689,1,123.888900,0,0.000000,1.000000,51.842689
2002-10-25,sh.600522,1.759428,1.812211,1.752097,1.791684,1.772624,13304901,162274941.000000,2,19.007001,1,1.080000,0,0.000000,1.000000,19.007001
2002-10-28,sh.600522,1.793150,1.810745,1.709578,1.733037,1.791684,10414715,125182999.000000,2,14.878164,1,-3.270000,0,0.000000,1.000000,14.878164
2002-10-29,sh.600522,1.713976,1.759428,1.686119,1.743300,1.733037,7018512,82336584.000000,2,10.026446,1,0.590000,0,0.000000,1.000000,10.026446
2002-10-30,sh.600522,1.741834,1.793150,1.722773,1.769691,1.743300,6947096,83770315.000000,2,9.924423,1,1.510000,0,0.000000,1.000000,9.924423
2002-10-31,sh.600522,1.759428,1.785819,1.725706,1.731570,1.769691,3458843,41250645.000000,2,4.941204,1,-2.150000,0,0.000000,1.000000,4.941204
2002-11-01,sh.600522,1.727172,1.743300,1.700780,1.727172,1.731570,3067366,36023518.000000,2,4.381951,1,-0.250000,0,0.000000,1.000000,4.381951
2002-11-04,sh.600522,1.741834,1.876723,1.728638,1.864994,1.727172,10827357,133634076.000000,2,15.467653,1,7.980000,0,0.000000,1.000000,15.467653
2002-11-05,sh.600522,1.862061,1.982289,1.847399,1.895784,1.864994,26819694,350451330.000000,2,38.313849,1,1.650000,0,0.000000,1.000000,38.313849
2002-11-06,sh.600522,1.884054,1.935371,1.876723,1.889919,1.895784,12583295,163841052.000000,2,17.976136,1,-0.310000,0,0.000000,1.000000,17.976136
2002-11-07,sh.600522,1.886987,1.922175,1.873791,1.903115,1.889919,5681439,73604601.000000,2,8.116341,1,0.700000,0,0.000000,1.000000,8.116341
2002-11-08,sh.600522,1.935371,1.948567,1.803414,1.821008,1.903115,9131646,116496651.000000,2,13.045209,1,-4.310000,0,0.000000,1.000000,13.045209
2002-11-11,sh.600522,1.832737,1.870858,1.810745,1.832737,1.821008,4780685,60077024.000000,2,6.829550,1,0.640000,0,0.000000,1.000000,6.829550
2002-11-12,sh.600522,1.854730,1.872325,1.777022,1.803414,1.832737,5540377,68655047.000000,2,7.914824,1,-1.600000,0,0.000000,1.000000,7.914824
2002-11-13,sh.600522,1.803414,1.862061,1.775556,1.854730,1.803414,6133978,76320093.000000,2,8.762826,1,2.850000,0,0.000000,1.000000,8.762826
2002-11-14,sh.600522,1.854730,1.895784,1.803414,1.819542,1.854730,6918816,87221268.000000,2,9.884023,1,-1.900000,0,0.000000,1.000000,9.884023
2002-11-15,sh.600522,1.803414,1.884054,1.796083,1.851798,1.819542,6338079,80187955.000000,2,9.054399,1,1.770000,0,0.000000,1.000000,9.054399
2002-11-18,sh.600522,1.847399,1.866460,1.816609,1.847399,1.851798,2967843,37332613.000000,2,4.239776,1,-0.240000,0,0.000000,1.000000,4.239776
2002-11-19,sh.600522,1.845933,1.928040,1.821008,1.903115,1.847399,6711649,86032086.000000,2,9.588070,1,3.020000,0,0.000000,1.000000,9.588070
